"","x"
"1098","03/20/1997"
"1099","03/21/1997"
"1100","04/12/1997"
"1101","05/07/1997"
"1102","05/08/1997"
"1103","05/09/1997"
"1104","05/13/1997"
"1105","05/14/1997"
"1106","05/15/1997"
"1107","05/16/1997"
"1108","05/19/1997"
"1109","05/20/1997"
"1110","05/21/1997"
"1111","05/22/1997"
"1112","06/02/1997"
"1113","06/03/1997"
"1114","06/04/1997"
"1115","06/05/1997"
"1116","06/06/1997"
"1117","06/09/1997"
"1118","06/10/1997"
"1119","06/11/1997"
"1120","06/12/1997"
"1121","06/16/1997"
"1122","06/17/1997"
"1123","06/18/1997"
"1124","06/19/1997"
"1125","06/20/1997"
"1126","06/23/1997"
"1127","06/24/1997"
"1128","06/25/1997"
"1129","06/26/1997"
"1130","06/27/1997"
"1131","06/30/1997"
"1132","07/01/1997"
"1133","07/02/1997"
"1134","07/03/1997"
"1135","07/04/1997"
"1136","07/07/1997"
"1137","07/08/1997"
"1138","07/09/1997"
"1139","07/10/1997"
"1140","07/11/1997"
"1141","07/14/1997"
"1142","07/15/1997"
"1143","07/16/1997"
"1144","07/17/1997"
"1145","07/18/1997"
"1146","07/21/1997"
"1147","07/22/1997"
"1148","07/23/1997"
"1149","07/24/1997"
"1150","07/25/1997"
"1151","07/28/1997"
"1152","07/29/1997"
"1153","07/30/1997"
"1154","07/31/1997"
"1155","09/24/1997"
"1156","10/27/1997"
"1157","10/28/1997"
"1158","10/29/1997"
"1159","10/30/1997"
"1160","11/03/1997"
"1161","11/04/1997"
"1162","11/05/1997"
"1163","11/06/1997"
"1164","11/07/1997"
"1165","11/10/1997"
"1166","11/11/1997"
"1167","11/12/1997"
"1168","11/13/1997"
"1169","11/14/1997"
"1170","11/17/1997"
"1171","11/18/1997"
"1172","11/19/1997"
"1173","11/20/1997"
"1174","11/21/1997"
"1175","11/24/1997"
"1176","11/25/1997"
"1177","11/26/1997"
"1178","11/27/1997"
"1179","11/28/1997"
"1180","12/01/1997"
"1181","12/02/1997"
"1182","12/03/1997"
"1183","12/04/1997"
"1184","12/05/1997"
"1185","12/08/1997"
"1186","12/09/1997"
"1187","12/10/1997"
"1188","12/11/1997"
"1189","12/12/1997"
"1190","12/17/1997"
"1191","01/12/1998"
"1192","01/13/1998"
"1193","01/14/1998"
"1194","01/15/1998"
"1195","01/16/1998"
"1196","01/19/1998"
"1197","01/20/1998"
"1198","01/21/1998"
"1199","01/22/1998"
"1200","01/23/1998"
"1201","01/26/1998"
"1202","01/27/1998"
"1203","01/28/1998"
"1204","01/29/1998"
"1205","01/30/1998"
"1206","02/02/1998"
"1207","02/03/1998"
"1208","02/04/1998"
"1209","02/05/1998"
"1210","02/06/1998"
"1211","02/09/1998"
"1212","02/10/1998"
"1213","02/11/1998"
"1214","02/12/1998"
"1215","02/13/1998"
"1216","02/16/1998"
"1217","02/17/1998"
"1218","02/18/1998"
"1219","02/19/1998"
"1220","02/23/1998"
"1221","02/24/1998"
"1222","02/25/1998"
"1223","02/26/1998"
"1224","02/27/1998"
"1225","03/02/1998"
"1226","03/03/1998"
"1227","03/04/1998"
"1228","03/05/1998"
"1229","03/06/1998"
"1230","03/09/1998"
"1231","03/10/1998"
"1232","03/11/1998"
"1233","03/12/1998"
"1234","03/13/1998"
"1235","03/16/1998"
"1236","03/17/1998"
"1237","03/18/1998"
"1238","03/19/1998"
"1239","03/20/1998"
"1240","03/23/1998"
"1241","03/24/1998"
"1242","03/25/1998"
"1243","03/26/1998"
"1244","03/27/1998"
"1245","03/30/1998"
"1246","03/31/1998"
"1247","04/01/1998"
"1248","04/02/1998"
"1249","04/06/1998"
"1250","04/07/1998"
"1251","04/08/1998"
"1252","04/20/1998"
"1253","04/21/1998"
"1254","04/22/1998"
"1255","04/23/1998"
"1256","04/24/1998"
"1257","04/27/1998"
"1258","04/28/1998"
"1259","04/29/1998"
"1260","04/30/1998"
"1261","05/05/1998"
"1262","05/06/1998"
"1263","05/07/1998"
"1264","05/08/1998"
"1265","05/11/1998"
"1266","05/12/1998"
"1267","05/13/1998"
"1268","05/14/1998"
"1269","05/18/1998"
"1270","05/19/1998"
"1271","05/20/1998"
"1272","05/21/1998"
"1273","05/24/1998"
"1274","05/25/1998"
"1275","06/01/1998"
"1276","06/02/1998"
"1277","06/03/1998"
"1278","06/04/1998"
"1279","06/05/1998"
"1280","06/08/1998"
"1281","06/09/1998"
"1282","06/10/1998"
"1283","06/11/1998"
"1284","06/14/1998"
"1285","06/15/1998"
"1286","06/16/1998"
"1287","06/17/1998"
"1288","06/18/1998"
"1289","06/19/1998"
"1290","06/22/1998"
"1291","06/23/1998"
"1292","06/24/1998"
"1293","06/29/1998"
"1294","06/30/1998"
"1295","07/01/1998"
"1296","07/02/1998"
"1297","07/03/1998"
"1298","07/06/1998"
"1299","07/07/1998"
"1300","07/08/1998"
"1301","07/09/1998"
"1302","07/10/1998"
"1303","07/13/1998"
"1304","07/14/1998"
"1305","07/15/1998"
"1306","07/16/1998"
"1307","07/17/1998"
"1308","07/20/1998"
"1309","07/21/1998"
"1310","07/22/1998"
"1311","07/23/1998"
"1312","07/24/1998"
"1313","07/27/1998"
"1314","07/28/1998"
"1315","07/29/1998"
"1316","07/30/1998"
"1317","07/31/1998"
"1318","09/02/1998"
"1319","09/03/1998"
"1320","10/19/1998"
"1321","10/20/1998"
"1322","10/21/1998"
"1323","10/22/1998"
"1324","10/24/1998"
"1325","10/26/1998"
"1326","10/27/1998"
"1327","10/28/1998"
"1328","10/29/1998"
"1329","11/01/1998"
"1330","11/02/1998"
"1331","11/03/1998"
"1332","11/04/1998"
"1333","11/05/1998"
"1334","11/09/1998"
"1335","11/10/1998"
"1336","11/11/1998"
"1337","11/12/1998"
"1338","11/16/1998"
"1339","11/17/1998"
"1340","11/18/1998"
"1341","11/19/1998"
"1342","11/24/1998"
"1343","11/25/1998"
"1344","11/26/1998"
"1345","11/27/1998"
"1346","11/30/1998"
"1347","12/01/1998"
"1348","12/02/1998"
"1349","12/03/1998"
"1350","12/07/1998"
"1351","12/08/1998"
"1352","12/09/1998"
"1353","12/10/1998"
"1354","12/14/1998"
"1355","12/15/1998"
"1356","12/16/1998"
"1357","12/17/1998"
"1358","01/11/1999"
"1359","01/12/1999"
"1360","01/13/1999"
"1361","01/14/1999"
"1362","01/18/1999"
"1363","01/19/1999"
"1364","01/20/1999"
"1365","01/21/1999"
"1366","01/25/1999"
"1367","01/26/1999"
"1368","01/27/1999"
"1369","01/28/1999"
"1370","02/01/1999"
"1371","02/02/1999"
"1372","02/03/1999"
"1373","02/04/1999"
"1374","02/08/1999"
"1375","02/09/1999"
"1376","02/10/1999"
"1377","02/11/1999"
"1378","02/15/1999"
"1379","02/16/1999"
"1380","02/22/1999"
"1381","02/23/1999"
"1382","02/24/1999"
"1383","02/25/1999"
"1384","02/26/1999"
"1385","03/01/1999"
"1386","03/02/1999"
"1387","03/03/1999"
"1388","03/04/1999"
"1389","03/05/1999"
"1390","03/08/1999"
"1391","03/09/1999"
"1392","03/10/1999"
"1393","03/11/1999"
"1394","03/12/1999"
"1395","03/15/1999"
"1396","03/16/1999"
"1397","03/17/1999"
"1398","03/18/1999"
"1399","03/19/1999"
"1400","03/22/1999"
"1401","03/23/1999"
"1402","03/24/1999"
"1403","03/25/1999"
"1404","03/26/1999"
"1405","03/29/1999"
"1406","03/30/1999"
"1407","03/31/1999"
"1408","04/13/1999"
"1409","04/14/1999"
"1410","04/15/1999"
"1411","04/16/1999"
"1412","04/19/1999"
"1413","04/20/1999"
"1414","04/21/1999"
"1415","04/22/1999"
"1416","04/23/1999"
"1417","04/26/1999"
"1418","04/27/1999"
"1419","04/28/1999"
"1420","04/29/1999"
"1421","04/30/1999"
"1422","05/04/1999"
"1423","05/05/1999"
"1424","05/06/1999"
"1425","05/07/1999"
"1426","05/10/1999"
"1427","05/11/1999"
"1428","05/12/1999"
"1429","05/13/1999"
"1430","05/14/1999"
"1431","05/17/1999"
"1432","05/18/1999"
"1433","05/19/1999"
"1434","05/20/1999"
"1435","05/21/1999"
"1436","05/24/1999"
"1437","05/25/1999"
"1438","05/26/1999"
"1439","06/02/1999"
"1440","06/08/1999"
"1441","06/09/1999"
"1442","06/10/1999"
"1443","06/11/1999"
"1444","06/14/1999"
"1445","06/15/1999"
"1446","06/16/1999"
"1447","06/17/1999"
"1448","06/18/1999"
"1449","06/21/1999"
"1450","06/22/1999"
"1451","06/23/1999"
"1452","06/24/1999"
"1453","06/25/1999"
"1454","06/28/1999"
"1455","06/29/1999"
"1456","06/30/1999"
"1457","07/01/1999"
"1458","07/02/1999"
"1459","07/05/1999"
"1460","07/06/1999"
"1461","07/07/1999"
"1462","07/08/1999"
"1463","07/12/1999"
"1464","07/13/1999"
"1465","07/14/1999"
"1466","07/15/1999"
"1467","07/16/1999"
"1468","07/19/1999"
"1469","07/20/1999"
"1470","07/21/1999"
"1471","07/22/1999"
"1472","07/23/1999"
"1473","07/26/1999"
"1474","07/27/1999"
"1475","09/12/1999"
"1476","10/19/1999"
"1477","10/20/1999"
"1478","10/21/1999"
"1479","10/23/1999"
"1480","10/25/1999"
"1481","10/26/1999"
"1482","10/27/1999"
"1483","10/28/1999"
"1484","10/29/1999"
"1485","11/01/1999"
"1486","11/02/1999"
"1487","11/03/1999"
"1488","11/04/1999"
"1489","11/05/1999"
"1490","11/08/1999"
"1491","11/09/1999"
"1492","11/10/1999"
"1493","11/11/1999"
"1494","11/17/1999"
"1495","11/18/1999"
"1496","11/19/1999"
"1497","11/22/1999"
"1498","11/23/1999"
"1499","11/24/1999"
"1500","11/25/1999"
"1501","11/26/1999"
"1502","11/29/1999"
"1503","11/30/1999"
"1504","12/01/1999"
"1505","12/02/1999"
"1506","12/06/1999"
"1507","12/07/1999"
"1508","12/08/1999"
"1509","12/09/1999"
"1510","12/13/1999"
"1511","12/14/1999"
"1512","12/15/1999"
"1513","12/16/1999"
"1514","12/20/1999"
"1515","12/21/1999"
"1516","01/10/2000"
"1517","01/11/2000"
"1518","01/12/2000"
"1519","01/13/2000"
"1520","01/17/2000"
"1521","01/18/2000"
"1522","01/19/2000"
"1523","01/20/2000"
"1524","01/24/2000"
"1525","01/25/2000"
"1526","01/26/2000"
"1527","01/27/2000"
"1528","01/28/2000"
"1529","01/31/2000"
"1530","02/01/2000"
"1531","02/02/2000"
"1532","02/03/2000"
"1533","02/04/2000"
"1534","02/07/2000"
"1535","02/08/2000"
"1536","02/09/2000"
"1537","02/10/2000"
"1538","02/11/2000"
"1539","02/14/2000"
"1540","02/15/2000"
"1541","02/16/2000"
"1542","02/17/2000"
"1543","02/21/2000"
"1544","02/22/2000"
"1545","02/28/2000"
"1546","02/29/2000"
"1547","03/01/2000"
"1548","03/02/2000"
"1549","03/03/2000"
"1550","03/06/2000"
"1551","03/07/2000"
"1552","03/08/2000"
"1553","03/09/2000"
"1554","03/10/2000"
"1555","03/13/2000"
"1556","03/14/2000"
"1557","03/15/2000"
"1558","03/16/2000"
"1559","03/17/2000"
"1560","03/20/2000"
"1561","03/21/2000"
"1562","03/22/2000"
"1563","03/23/2000"
"1564","03/24/2000"
"1565","03/27/2000"
"1566","03/28/2000"
"1567","03/29/2000"
"1568","03/30/2000"
"1569","04/03/2000"
"1570","04/04/2000"
"1571","04/05/2000"
"1572","04/06/2000"
"1573","04/07/2000"
"1574","04/10/2000"
"1575","04/11/2000"
"1576","04/12/2000"
"1577","04/13/2000"
"1578","04/14/2000"
"1579","04/17/2000"
"1580","04/18/2000"
"1581","04/19/2000"
"1582","04/20/2000"
"1583","05/02/2000"
"1584","05/03/2000"
"1585","05/04/2000"
"1586","05/05/2000"
"1587","05/08/2000"
"1588","05/09/2000"
"1589","05/10/2000"
"1590","05/11/2000"
"1591","05/12/2000"
"1592","05/14/2000"
"1593","05/15/2000"
"1594","05/16/2000"
"1595","05/17/2000"
"1596","05/18/2000"
"1597","05/19/2000"
"1598","05/22/2000"
"1599","05/23/2000"
"1600","05/24/2000"
"1601","05/25/2000"
"1602","06/05/2000"
"1603","06/06/2000"
"1604","06/07/2000"
"1605","06/08/2000"
"1606","06/09/2000"
"1607","06/12/2000"
"1608","06/13/2000"
"1609","06/14/2000"
"1610","06/15/2000"
"1611","06/19/2000"
"1612","06/20/2000"
"1613","06/21/2000"
"1614","06/22/2000"
"1615","06/23/2000"
"1616","06/26/2000"
"1617","06/27/2000"
"1618","06/28/2000"
"1619","06/29/2000"
"1620","07/03/2000"
"1621","07/04/2000"
"1622","07/05/2000"
"1623","07/06/2000"
"1624","07/07/2000"
"1625","07/10/2000"
"1626","07/11/2000"
"1627","07/12/2000"
"1628","07/13/2000"
"1629","07/17/2000"
"1630","07/18/2000"
"1631","07/19/2000"
"1632","07/20/2000"
"1633","07/21/2000"
"1634","07/24/2000"
"1635","07/25/2000"
"1636","07/26/2000"
"1637","07/27/2000"
"1638","07/28/2000"
"1639","10/04/2000"
"1640","10/23/2000"
"1641","10/24/2000"
"1642","10/25/2000"
"1643","10/26/2000"
"1644","10/30/2000"
"1645","10/31/2000"
"1646","11/01/2000"
"1647","11/02/2000"
"1648","11/06/2000"
"1649","11/07/2000"
"1650","11/08/2000"
"1651","11/09/2000"
"1652","11/10/2000"
"1653","11/13/2000"
"1654","11/14/2000"
"1655","11/15/2000"
"1656","11/16/2000"
"1657","11/17/2000"
"1658","11/20/2000"
"1659","11/21/2000"
"1660","11/22/2000"
"1661","11/23/2000"
"1662","11/24/2000"
"1663","11/27/2000"
"1664","11/28/2000"
"1665","11/29/2000"
"1666","11/30/2000"
"1667","12/06/2000"
"1668","12/07/2000"
"1669","12/08/2000"
"1670","12/11/2000"
"1671","12/12/2000"
"1672","12/13/2000"
"1673","12/14/2000"
"1674","12/15/2000"
"1675","12/18/2000"
"1676","12/19/2000"
"1677","12/20/2000"
"1678","12/21/2000"
"1679","01/08/2001"
"1680","01/09/2001"
"1681","01/10/2001"
"1682","01/11/2001"
"1683","01/15/2001"
"1684","01/16/2001"
"1685","01/17/2001"
"1686","01/18/2001"
"1687","01/22/2001"
"1688","01/23/2001"
"1689","01/24/2001"
"1690","01/25/2001"
"1691","01/26/2001"
"1692","02/12/2001"
"1693","02/13/2001"
"1694","02/14/2001"
"1695","02/15/2001"
"1696","02/26/2001"
"1697","02/27/2001"
"1698","02/28/2001"
"1699","03/01/2001"
"1700","03/05/2001"
"1701","03/06/2001"
"1702","03/07/2001"
"1703","03/08/2001"
"1704","03/09/2001"
"1705","03/12/2001"
"1706","03/13/2001"
"1707","03/14/2001"
"1708","03/15/2001"
"1709","03/16/2001"
"1710","03/19/2001"
"1711","03/20/2001"
"1712","03/21/2001"
"1713","03/22/2001"
"1714","03/23/2001"
"1715","03/26/2001"
"1716","03/27/2001"
"1717","03/28/2001"
"1718","03/29/2001"
"1719","03/30/2001"
"1720","04/02/2001"
"1721","04/03/2001"
"1722","04/04/2001"
"1723","04/05/2001"
"1724","04/06/2001"
"1725","04/09/2001"
"1726","04/10/2001"
"1727","04/23/2001"
"1728","04/24/2001"
"1729","04/25/2001"
"1730","04/26/2001"
"1731","04/27/2001"
"1732","04/30/2001"
"1733","05/01/2001"
"1734","05/02/2001"
"1735","05/03/2001"
"1736","05/08/2001"
"1737","05/09/2001"
"1738","05/10/2001"
"1739","05/11/2001"
"1740","05/19/2001"
"1741","06/02/2001"
"1742","06/03/2001"
"1743","06/13/2001"
"1744","06/14/2001"
"1745","06/15/2001"
"1746","06/19/2001"
"1747","06/20/2001"
"1748","06/21/2001"
"1749","06/22/2001"
"1750","06/25/2001"
"1751","06/26/2001"
"1752","06/27/2001"
"1753","06/28/2001"
"1754","07/02/2001"
"1755","07/03/2001"
"1756","07/04/2001"
"1757","07/05/2001"
"1758","07/09/2001"
"1759","07/10/2001"
"1760","07/11/2001"
"1761","07/12/2001"
"1762","07/13/2001"
"1763","07/16/2001"
"1764","07/17/2001"
"1765","07/18/2001"
"1766","07/19/2001"
"1767","07/20/2001"
"1768","09/14/2001"
"1769","09/19/2001"
"1770","10/01/2001"
"1771","10/04/2001"
"1772","10/08/2001"
"1773","10/15/2001"
"1774","10/16/2001"
"1775","10/17/2001"
"1776","10/18/2001"
"1777","10/19/2001"
"1778","10/22/2001"
"1779","10/23/2001"
"1780","10/24/2001"
"1781","10/25/2001"
"1782","10/26/2001"
"1783","10/29/2001"
"1784","10/30/2001"
"1785","10/31/2001"
"1786","11/01/2001"
"1787","11/02/2001"
"1788","11/05/2001"
"1789","11/06/2001"
"1790","11/07/2001"
"1791","11/08/2001"
"1792","11/09/2001"
"1793","11/12/2001"
"1794","11/13/2001"
"1795","11/14/2001"
"1796","11/15/2001"
"1797","11/16/2001"
"1798","11/19/2001"
"1799","11/20/2001"
"1800","11/21/2001"
"1801","11/22/2001"
"1802","11/23/2001"
"1803","11/26/2001"
"1804","11/27/2001"
"1805","11/28/2001"
"1806","11/29/2001"
"1807","11/30/2001"
"1808","12/03/2001"
"1809","12/04/2001"
"1810","12/05/2001"
"1811","12/06/2001"
"1812","12/10/2001"
"1813","12/11/2001"
"1814","12/12/2001"
"1815","12/13/2001"
"1816","12/17/2001"
"1817","12/18/2001"
"1818","12/19/2001"
"1819","01/02/2002"
"1820","01/08/2002"
"1821","01/09/2002"
"1822","01/10/2002"
"1823","01/11/2002"
"1824","01/14/2002"
"1825","01/15/2002"
"1826","01/16/2002"
"1827","01/17/2002"
"1828","01/18/2002"
"1829","01/21/2002"
"1830","01/22/2002"
"1831","01/23/2002"
"1832","01/24/2002"
"1833","01/25/2002"
"1834","01/28/2002"
"1835","01/29/2002"
"1836","01/30/2002"
"1837","01/31/2002"
"1838","02/01/2002"
"1839","02/04/2002"
"1840","02/05/2002"
"1841","02/06/2002"
"1842","02/07/2002"
"1843","02/08/2002"
"1844","02/11/2002"
"1845","02/12/2002"
"1846","02/13/2002"
"1847","02/14/2002"
"1848","02/25/2002"
"1849","02/26/2002"
"1850","02/27/2002"
"1851","02/28/2002"
"1852","03/01/2002"
"1853","03/04/2002"
"1854","03/05/2002"
"1855","03/06/2002"
"1856","03/07/2002"
"1857","03/08/2002"
"1858","03/11/2002"
"1859","03/12/2002"
"1860","03/13/2002"
"1861","03/14/2002"
"1862","03/15/2002"
"1863","03/18/2002"
"1864","03/19/2002"
"1865","03/20/2002"
"1866","03/21/2002"
"1867","03/25/2002"
"1868","03/26/2002"
"1869","04/03/2002"
"1870","04/09/2002"
"1871","04/10/2002"
"1872","04/11/2002"
"1873","04/12/2002"
"1874","04/15/2002"
"1875","04/16/2002"
"1876","04/17/2002"
"1877","04/18/2002"
"1878","04/19/2002"
"1879","04/20/2002"
"1880","04/22/2002"
"1881","04/23/2002"
"1882","04/24/2002"
"1883","04/25/2002"
"1884","04/26/2002"
"1885","04/29/2002"
"1886","04/30/2002"
"1887","05/01/2002"
"1888","05/02/2002"
"1889","05/07/2002"
"1890","05/08/2002"
"1891","05/09/2002"
"1892","05/10/2002"
"1893","05/13/2002"
"1894","05/14/2002"
"1895","05/15/2002"
"1896","05/16/2002"
"1897","05/20/2002"
"1898","05/21/2002"
"1899","05/22/2002"
"1900","05/23/2002"
"1901","05/24/2002"
"1902","06/10/2002"
"1903","06/11/2002"
"1904","06/12/2002"
"1905","06/13/2002"
"1906","06/17/2002"
"1907","06/18/2002"
"1908","06/19/2002"
"1909","06/20/2002"
"1910","06/21/2002"
"1911","06/22/2002"
"1912","06/24/2002"
"1913","06/25/2002"
"1914","06/26/2002"
"1915","06/27/2002"
"1916","07/01/2002"
"1917","07/02/2002"
"1918","07/03/2002"
"1919","07/04/2002"
"1920","07/05/2002"
"1921","07/06/2002"
"1922","07/08/2002"
"1923","07/09/2002"
"1924","07/10/2002"
"1925","07/11/2002"
"1926","07/12/2002"
"1927","07/15/2002"
"1928","07/16/2002"
"1929","07/17/2002"
"1930","07/18/2002"
"1931","07/19/2002"
"1932","07/22/2002"
"1933","07/23/2002"
"1934","07/24/2002"
"1935","07/27/2002"
"1936","09/19/2002"
"1937","09/24/2002"
"1938","10/14/2002"
"1939","10/15/2002"
"1940","10/16/2002"
"1941","10/17/2002"
"1942","10/21/2002"
"1943","10/22/2002"
"1944","10/23/2002"
"1945","10/24/2002"
"1946","10/28/2002"
"1947","10/29/2002"
"1948","10/30/2002"
"1949","10/31/2002"
"1950","11/04/2002"
"1951","11/05/2002"
"1952","11/06/2002"
"1953","11/07/2002"
"1954","11/25/2002"
"1955","11/26/2002"
"1956","11/27/2002"
"1957","11/28/2002"
"1958","12/02/2002"
"1959","12/03/2002"
"1960","12/04/2002"
"1961","12/05/2002"
"1962","12/06/2002"
"1963","12/09/2002"
"1964","12/10/2002"
"1965","12/11/2002"
"1966","12/12/2002"
"1967","12/16/2002"
"1968","12/17/2002"
"1969","12/18/2002"
"1970","12/19/2002"
"1971","01/03/2003"
"1972","01/06/2003"
"1973","01/07/2003"
"1974","01/08/2003"
"1975","01/09/2003"
"1976","01/13/2003"
"1977","01/14/2003"
"1978","01/15/2003"
"1979","01/16/2003"
"1980","01/20/2003"
"1981","01/21/2003"
"1982","01/22/2003"
"1983","01/23/2003"
"1984","01/27/2003"
"1985","01/28/2003"
"1986","01/29/2003"
"1987","01/30/2003"
"1988","01/31/2003"
"1989","02/14/2003"
"1990","02/24/2003"
"1991","02/25/2003"
"1992","02/26/2003"
"1993","02/27/2003"
"1994","02/28/2003"
"1995","03/03/2003"
"1996","03/04/2003"
"1997","03/05/2003"
"1998","03/06/2003"
"1999","03/07/2003"
"2000","03/10/2003"
"2001","03/11/2003"
"2002","03/12/2003"
"2003","03/13/2003"
"2004","03/14/2003"
"2005","03/17/2003"
"2006","03/18/2003"
"2007","03/19/2003"
"2008","03/20/2003"
"2009","03/21/2003"
"2010","03/24/2003"
"2011","03/25/2003"
"2012","03/26/2003"
"2013","03/27/2003"
"2014","03/28/2003"
"2015","03/31/2003"
"2016","04/01/2003"
"2017","04/02/2003"
"2018","04/03/2003"
"2019","04/04/2003"
"2020","04/07/2003"
"2021","04/08/2003"
"2022","04/09/2003"
"2023","04/10/2003"
"2024","04/11/2003"
"2025","04/14/2003"
"2026","04/15/2003"
"2027","04/24/2003"
"2028","04/28/2003"
"2029","04/29/2003"
"2030","04/30/2003"
"2031","05/01/2003"
"2032","05/02/2003"
"2033","05/06/2003"
"2034","05/07/2003"
"2035","05/08/2003"
"2036","05/12/2003"
"2037","05/13/2003"
"2038","05/14/2003"
"2039","05/15/2003"
"2040","05/16/2003"
"2041","05/19/2003"
"2042","05/20/2003"
"2043","05/21/2003"
"2044","05/22/2003"
"2045","05/23/2003"
"2046","05/30/2003"
"2047","06/03/2003"
"2048","06/04/2003"
"2049","06/05/2003"
"2050","06/09/2003"
"2051","06/10/2003"
"2052","06/11/2003"
"2053","06/12/2003"
"2054","06/13/2003"
"2055","06/16/2003"
"2056","06/17/2003"
"2057","06/18/2003"
"2058","06/19/2003"
"2059","06/20/2003"
"2060","06/23/2003"
"2061","06/24/2003"
"2062","06/25/2003"
"2063","06/26/2003"
"2064","06/30/2003"
"2065","07/01/2003"
"2066","07/02/2003"
"2067","07/03/2003"
"2068","07/04/2003"
"2069","07/07/2003"
"2070","07/08/2003"
"2071","07/09/2003"
"2072","07/10/2003"
"2073","07/11/2003"
"2074","07/14/2003"
"2075","07/15/2003"
"2076","07/16/2003"
"2077","07/17/2003"
"2078","07/18/2003"
"2079","07/26/2003"
"2080","08/18/2003"
"2081","09/02/2003"
"2082","09/08/2003"
"2083","09/09/2003"
"2084","09/10/2003"
"2085","09/11/2003"
"2086","09/15/2003"
"2087","09/16/2003"
"2088","09/17/2003"
"2089","09/18/2003"
"2090","09/19/2003"
"2091","10/07/2003"
"2092","10/27/2003"
"2093","10/28/2003"
"2094","10/29/2003"
"2095","10/30/2003"
"2096","11/03/2003"
"2097","11/04/2003"
"2098","11/05/2003"
"2099","11/06/2003"
"2100","11/10/2003"
"2101","11/11/2003"
"2102","11/12/2003"
"2103","11/13/2003"
"2104","11/17/2003"
"2105","11/18/2003"
"2106","11/19/2003"
"2107","11/20/2003"
"2108","11/26/2003"
"2109","11/27/2003"
"2110","12/01/2003"
"2111","12/02/2003"
"2112","12/03/2003"
"2113","12/04/2003"
"2114","12/08/2003"
"2115","12/09/2003"
"2116","12/10/2003"
"2117","12/11/2003"
"2118","12/15/2003"
"2119","12/16/2003"
"2120","12/17/2003"
"2121","12/18/2003"
"2122","12/19/2003"
"2123","01/04/2004"
"2124","01/05/2004"
"2125","01/06/2004"
"2126","01/07/2004"
"2127","01/08/2004"
"2128","01/12/2004"
"2129","01/13/2004"
"2130","01/14/2004"
"2131","01/15/2004"
"2132","01/19/2004"
"2133","01/20/2004"
"2134","01/21/2004"
"2135","01/22/2004"
"2136","01/26/2004"
"2137","01/27/2004"
"2138","01/28/2004"
"2139","01/29/2004"
