"Downloaded on",05/09/2020,"21:07:08 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22members%22%2C%22chamber%22%3A%22Senate%22%7D

Name,URL,State,District,Party,Terms
"Senator Abdnor, James",https://www.congress.gov/member/james-abdnor/A000009,"South Dakota",,Republican,"Senate: 1981-1987 | House: 1973-1981"
"Senator Abourezk, James",https://www.congress.gov/member/james-abourezk/A000017,"South Dakota",,Democratic,"Senate: 1973-1979 | House: 1971-1973"
"Senator Abraham, Spencer",https://www.congress.gov/member/spencer-abraham/A000355,Michigan,,Republican,"Senate: 1995-2001"
"Senator Adams, Brock",https://www.congress.gov/member/brockman-adams/A000031,Washington,,Democratic,"Senate: 1987-1993 | House: 1965-1979"
"Senator Aiken, George",https://www.congress.gov/member/george-aiken/A000062,Vermont,,Republican,"Senate: 1941-1975"
"Senator Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Hawaii,,Democratic,"Senate: 1990-2013 | House: 1977-1991"
"Senator Alexander, Lamar",https://www.congress.gov/member/lamar-alexander/A000360,Tennessee,,Republican,"Senate: 2003-Present"
"Senator Allard, Wayne",https://www.congress.gov/member/a-allard/A000109,Colorado,,Republican,"Senate: 1997-2009 | House: 1991-1997"
"Senator Allen, George",https://www.congress.gov/member/george-allen/A000121,Virginia,,Republican,"Senate: 2001-2007 | House: 1991-1993"
"Senator Allen, James B.",https://www.congress.gov/member/james-allen/A000127,Alabama,,Democratic,"Senate: 1969-1979"
"Senator Allen, Maryon",https://www.congress.gov/member/maryon-allen/A000139,Alabama,,Democratic,"Senate: 1977-1979"
"Senator Anderson, Wendell R.",https://www.congress.gov/member/wendell-anderson/A000202,Minnesota,,Democratic,"Senate: 1977-1979"
"Senator Andrews, Mark",https://www.congress.gov/member/mark-andrews/A000208,"North Dakota",,Republican,"Senate: 1981-1987 | House: 1963-1981"
"Senator Armstrong, William L.",https://www.congress.gov/member/william-armstrong/A000219,Colorado,,Republican,"Senate: 1979-1991 | House: 1973-1979"
"Senator Ashcroft, John",https://www.congress.gov/member/john-ashcroft/A000356,Missouri,,Republican,"Senate: 1995-2001"
"Senator Ayotte, Kelly",https://www.congress.gov/member/kelly-ayotte/A000368,"New Hampshire",,Republican,"Senate: 2011-2017"
"Senator Baker, Howard H., Jr.",https://www.congress.gov/member/howard-baker/B000063,Tennessee,,Republican,"Senate: 1967-1985"
"Senator Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Wisconsin,,Democratic,"Senate: 2013-Present | House: 1999-2013"
"Senator Barkley, Dean M.",https://www.congress.gov/member/dean-barkley/B001237,Minnesota,,Independent,"Senate: 2002-2003"
"Senator Barrasso, John",https://www.congress.gov/member/john-barrasso/B001261,Wyoming,,Republican,"Senate: 2007-Present"
"Senator Bartlett, Dewey F.",https://www.congress.gov/member/dewey-bartlett/B000200,Oklahoma,,Republican,"Senate: 1973-1979"
"Senator Baucus, Max",https://www.congress.gov/member/max-baucus/B000243,Montana,,Democratic,"Senate: 1979-2014 | House: 1975-1979"
"Senator Bayh, Birch",https://www.congress.gov/member/birch-bayh/B000254,Indiana,,Democratic,"Senate: 1963-1981"
"Senator Bayh, Evan",https://www.congress.gov/member/evan-bayh/B001233,Indiana,,Democratic,"Senate: 1999-2011"
"Senator Beall, J. Glenn, Jr.",https://www.congress.gov/member/john-beall/B000272,Maryland,,Republican,"Senate: 1973-1977 | House: 1969-1971"
"Senator Begich, Mark",https://www.congress.gov/member/mark-begich/B001265,Alaska,,Democratic,"Senate: 2009-2015"
"Senator Bellmon, Henry L.",https://www.congress.gov/member/henry-bellmon/B000351,Oklahoma,,Republican,"Senate: 1969-1981"
"Senator Bennet, Michael F.",https://www.congress.gov/member/michael-bennet/B001267,Colorado,,Democratic,"Senate: 2009-Present"
"Senator Bennett, Robert F.",https://www.congress.gov/member/robert-bennett/B000382,Utah,,Republican,"Senate: 1993-2011"
"Senator Bennett, Wallace F.",https://www.congress.gov/member/wallace-bennett/B000384,Utah,,Republican,"Senate: 1951-1975"
"Senator Bentsen, Lloyd M.",https://www.congress.gov/member/lloyd-bentsen/B000401,Texas,,Democratic,"Senate: 1971-1993 | House: 1947-1955"
"Senator Bible, Alan",https://www.congress.gov/member/alan-bible/B000436,Nevada,,Democratic,"Senate: 1953-1975"
"Senator Biden, Joseph R., Jr.",https://www.congress.gov/member/joseph-biden/B000444,Delaware,,Democratic,"Senate: 1973-2009"
"Senator Bingaman, Jeff",https://www.congress.gov/member/jesse-bingaman/B000468,"New Mexico",,Democratic,"Senate: 1983-2013"
"Senator Blackburn, Marsha",https://www.congress.gov/member/marsha-blackburn/B001243,Tennessee,,Republican,"Senate: 2019-Present | House: 2003-2019"
"Senator Blumenthal, Richard",https://www.congress.gov/member/richard-blumenthal/B001277,Connecticut,,Democratic,"Senate: 2011-Present"
"Senator Blunt, Roy",https://www.congress.gov/member/roy-blunt/B000575,Missouri,,Republican,"Senate: 2011-Present | House: 1997-2011"
"Senator Bond, Christopher S.",https://www.congress.gov/member/christopher-bond/B000611,Missouri,,Republican,"Senate: 1987-2011"
"Senator Booker, Cory A.",https://www.congress.gov/member/cory-booker/B001288,"New Jersey",,Democratic,"Senate: 2013-Present"
"Senator Boozman, John",https://www.congress.gov/member/john-boozman/B001236,Arkansas,,Republican,"Senate: 2011-Present | House: 2001-2011"
"Senator Boren, David L.",https://www.congress.gov/member/david-boren/B000639,Oklahoma,,Democratic,"Senate: 1979-1995"
"Senator Boschwitz, Rudy",https://www.congress.gov/member/rudolf-boschwitz/B000647,Minnesota,,Republican,"Senate: 1979-1991"
"Senator Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,California,,Democratic,"Senate: 1993-2017 | House: 1983-1993"
"Senator Bradley, Bill",https://www.congress.gov/member/william-bradley/B001225,"New Jersey",,Democratic,"Senate: 1979-1997"
"Senator Brady, Nicholas",https://www.congress.gov/member/nicholas-brady/B000756,"New Jersey",,Republican,"Senate: 1981-1983"
"Senator Braun, Mike ",https://www.congress.gov/member/mike-braun/B001310,Indiana,,Republican,"Senate: 2019-Present"
"Senator Breaux, John B.",https://www.congress.gov/member/john-breaux/B000780,Louisiana,,Democratic,"Senate: 1987-2005 | House: 1971-1987"
"Senator Brock, Bill",https://www.congress.gov/member/william-brock/B000851,Tennessee,,Republican,"Senate: 1971-1977 | House: 1963-1971"
"Senator Brooke, Edward W.",https://www.congress.gov/member/edward-brooke/B000871,Massachusetts,,Republican,"Senate: 1967-1979"
"Senator Brown, Hank",https://www.congress.gov/member/george-brown/B000919,Colorado,,Republican,"Senate: 1991-1997 | House: 1981-1991"
"Senator Brown, Scott P.",https://www.congress.gov/member/scott-brown/B001268,Massachusetts,,Republican,"Senate: 2010-2013"
"Senator Brown, Sherrod",https://www.congress.gov/member/sherrod-brown/B000944,Ohio,,Democratic,"Senate: 2007-Present | House: 1993-2007"
"Senator Brownback, Sam",https://www.congress.gov/member/sam-brownback/B000953,Kansas,,Republican,"Senate: 1997-2011 | House: 1995-1996"
"Representative Broyhill, James T.",https://www.congress.gov/member/james-broyhill/B000966,"North Carolina",10,Republican,"Senate: 1986-1987 | House: 1963-1986"
"Senator Bryan, Richard H.",https://www.congress.gov/member/richard-bryan/B000993,Nevada,,Democratic,"Senate: 1989-2001"
"Senator Buckley, James L.",https://www.congress.gov/member/james-buckley/B001026,"New York",,Republican,"Senate: 1971-1977"
"Senator Bumpers, Dale",https://www.congress.gov/member/dale-bumpers/B001057,Arkansas,,Democratic,"Senate: 1975-1999"
"Senator Bunning, Jim",https://www.congress.gov/member/jim-bunning/B001066,Kentucky,,Republican,"Senate: 1999-2011 | House: 1987-1999"
"Senator Burdick, Jocelyn",https://www.congress.gov/member/jocelyn-burdick/B001076,"North Dakota",,Democratic,"Senate: 1991-1993"
"Senator Burdick, Quentin N.",https://www.congress.gov/member/quentin-burdick/B001077,"North Dakota",,Democratic,"Senate: 1959-1993"
"Senator Burns, Conrad R.",https://www.congress.gov/member/conrad-burns/B001126,Montana,,Republican,"Senate: 1989-2007"
"Senator Burr, Richard",https://www.congress.gov/member/richard-burr/B001135,"North Carolina",,Republican,"Senate: 2005-Present | House: 1995-2005"
"Senator Burris, Roland",https://www.congress.gov/member/roland-burris/B001266,Illinois,,Democratic,"Senate: 2009-2010"
"Senator Byrd, Harry F.,  Jr.",https://www.congress.gov/member/harry-byrd/B001209,Virginia,,Independent,"Senate: 1965-1983"
"Senator Byrd, Robert C.",https://www.congress.gov/member/robert-byrd/B001210,"West Virginia",,Democratic,"Senate: 1959-2010 | House: 1953-1959"
"Senator Campbell, Ben Nighthorse",https://www.congress.gov/member/ben-campbell/C000077,Colorado,,Republican,"Senate: 1993-2005 | House: 1987-1993"
"Senator Cannon, Howard W.",https://www.congress.gov/member/howard-cannon/C000120,Nevada,,Democratic,"Senate: 1959-1983"
"Senator Cantwell, Maria",https://www.congress.gov/member/maria-cantwell/C000127,Washington,,Democratic,"Senate: 2001-Present | House: 1993-1995"
"Senator Capito, Shelley Moore",https://www.congress.gov/member/shelley-capito/C001047,"West Virginia",,Republican,"Senate: 2015-Present | House: 2001-2015"
"Senator Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Maryland,,Democratic,"Senate: 2007-Present | House: 1987-2007"
"Senator Carnahan, Jean",https://www.congress.gov/member/jean-carnahan/C001043,Missouri,,Democratic,"Senate: 2001-2002"
"Senator Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Delaware,,Democratic,"Senate: 2001-Present | House: 1983-1993"
"Senator Case, Clifford P.",https://www.congress.gov/member/clifford-case/C000220,"New Jersey",,Republican,"Senate: 1955-1979 | House: 1945-1955"
"Senator Casey, Robert P., Jr.",https://www.congress.gov/member/bob-casey/C001070,Pennsylvania,,Democratic,"Senate: 2007-Present"
"Senator Cassidy, Bill",https://www.congress.gov/member/bill-cassidy/C001075,Louisiana,,Republican,"Senate: 2015-Present | House: 2009-2015"
"Senator Chafee, John H.",https://www.congress.gov/member/john-chafee/C000269,"Rhode Island",,Republican,"Senate: 1977-1999"
"Senator Chafee, Lincoln",https://www.congress.gov/member/lincoln-chafee/C001040,"Rhode Island",,Republican,"Senate: 1999-2007"
"Senator Chambliss, Saxby",https://www.congress.gov/member/saxby-chambliss/C000286,Georgia,,Republican,"Senate: 2003-2015 | House: 1995-2003"
"Senator Chiesa, Jeff",https://www.congress.gov/member/jeffrey-chiesa/C001100,"New Jersey",,Republican,"Senate: 2013"
"Senator Chiles, Lawton",https://www.congress.gov/member/lawton-chiles/C000356,Florida,,Democratic,"Senate: 1971-1989"
"Senator Church, Frank",https://www.congress.gov/member/frank-church/C000388,Idaho,,Democratic,"Senate: 1957-1981"
"Senator Clark, Dick",https://www.congress.gov/member/richard-clark/C000448,Iowa,,Democratic,"Senate: 1973-1979"
"Senator Cleland, Max",https://www.congress.gov/member/max-cleland/C001034,Georgia,,Democratic,"Senate: 1997-2003"
"Senator Clinton, Hillary Rodham",https://www.congress.gov/member/hillary-clinton/C001041,"New York",,Democratic,"Senate: 2001-2009"
"Senator Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Indiana,,Republican,"Senate: 1989-1999, 2011-2017 | House: 1981-1989"
"Senator Coburn, Tom",https://www.congress.gov/member/tom-coburn/C000560,Oklahoma,,Republican,"Senate: 2005-2015 | House: 1995-2001"
"Senator Cochran, Thad",https://www.congress.gov/member/thad-cochran/C000567,Mississippi,,Republican,"Senate: 1979-2018 | House: 1973-1979"
"Senator Cohen, William S.",https://www.congress.gov/member/william-cohen/C000598,Maine,,Republican,"Senate: 1979-1997 | House: 1973-1979"
"Senator Coleman, Norm",https://www.congress.gov/member/norm-coleman/C001057,Minnesota,,Republican,"Senate: 2003-2009"
"Senator Collins, Susan M.",https://www.congress.gov/member/susan-collins/C001035,Maine,,Republican,"Senate: 1997-Present"
"Senator Conrad, Kent",https://www.congress.gov/member/kent-conrad/C000705,"North Dakota",,Democratic,"Senate: 1987-2013"
"Senator Cook, Marlow W.",https://www.congress.gov/member/marlow-cook/C000721,Kentucky,,Republican,"Senate: 1967-1975"
"Senator Coons, Christopher A.",https://www.congress.gov/member/christopher-coons/C001088,Delaware,,Democratic,"Senate: 2010-Present"
"Senator Corker, Bob",https://www.congress.gov/member/bob-corker/C001071,Tennessee,,Republican,"Senate: 2007-2019"
"Senator Cornyn, John",https://www.congress.gov/member/john-cornyn/C001056,Texas,,Republican,"Senate: 2002-Present"
"Senator Cortez Masto, Catherine ",https://www.congress.gov/member/catherine-cortez-masto/C001113,Nevada,,Democratic,"Senate: 2017-Present"
"Senator Corzine, Jon S.",https://www.congress.gov/member/jon-corzine/C001042,"New Jersey",,Democratic,"Senate: 2001-2006"
"Senator Cotton, Norris",https://www.congress.gov/member/norris-cotton/C000802,"New Hampshire",,Republican,"Senate: 1953-1977 | House: 1947-1953"
"Senator Cotton, Tom",https://www.congress.gov/member/tom-cotton/C001095,Arkansas,,Republican,"Senate: 2015-Present | House: 2013-2015"
"Senator Coverdell, Paul",https://www.congress.gov/member/paul-coverdell/C000813,Georgia,,Republican,"Senate: 1993-2000"
"Senator Cowan, William M.",https://www.congress.gov/member/william-mo-cowan/C001099,Massachusetts,,Democratic,"Senate: 2013"
"Senator Craig, Larry E.",https://www.congress.gov/member/larry-craig/C000858,Idaho,,Republican,"Senate: 1991-2009 | House: 1981-1991"
"Senator Cramer, Kevin",https://www.congress.gov/member/kevin-cramer/C001096,"North Dakota",,Republican,"Senate: 2019-Present | House: 2013-2019"
"Senator Cranston, Alan",https://www.congress.gov/member/alan-cranston/C000877,California,,Democratic,"Senate: 1969-1993"
"Senator Crapo, Mike",https://www.congress.gov/member/michael-crapo/C000880,Idaho,,Republican,"Senate: 1999-Present | House: 1993-1999"
"Senator Cruz, Ted",https://www.congress.gov/member/ted-cruz/C001098,Texas,,Republican,"Senate: 2013-Present"
"Senator Culver, John C.",https://www.congress.gov/member/john-culver/C000979,Iowa,,Democratic,"Senate: 1975-1981 | House: 1965-1975"
"Senator Curtis, Carl T.",https://www.congress.gov/member/carl-curtis/C001006,Nebraska,,Republican,"Senate: 1955-1979 | House: 1939-1955"
"Senator D'Amato, Alfonse",https://www.congress.gov/member/alfonse-d-amato/D000018,"New York",,Republican,"Senate: 1981-1999"
"Senator Daines, Steve",https://www.congress.gov/member/steve-daines/D000618,Montana,,Republican,"Senate: 2015-Present | House: 2013-2015"
"Senator Danforth, John C.",https://www.congress.gov/member/john-danforth/D000030,Missouri,,Republican,"Senate: 1977-1995"
"Senator Daschle, Thomas A.",https://www.congress.gov/member/thomas-daschle/D000064,"South Dakota",,Democratic,"Senate: 1987-2005 | House: 1979-1987"
"Senator Dayton, Mark",https://www.congress.gov/member/mark-dayton/D000596,Minnesota,,Democratic,"Senate: 2001-2007"
"Senator DeConcini, Dennis",https://www.congress.gov/member/dennis-deconcini/D000185,Arizona,,Democratic,"Senate: 1977-1995"
"Senator DeMint, Jim",https://www.congress.gov/member/james-demint/D000595,"South Carolina",,Republican,"Senate: 2005-2012 | House: 1999-2005"
"Senator Denton, Jeremiah",https://www.congress.gov/member/jeremiah-denton/D000259,Alabama,,Republican,"Senate: 1981-1987"
"Senator DeWine, Mike",https://www.congress.gov/member/michael-dewine/D000294,Ohio,,Republican,"Senate: 1995-2007 | House: 1983-1991"
"Senator Dixon, Alan J.",https://www.congress.gov/member/alan-dixon/D000366,Illinois,,Democratic,"Senate: 1981-1993"
"Senator Dodd, Christopher J.",https://www.congress.gov/member/christopher-dodd/D000388,Connecticut,,Democratic,"Senate: 1981-2011 | House: 1975-1981"
"Senator Dole, Elizabeth",https://www.congress.gov/member/elizabeth-dole/D000601,"North Carolina",,Republican,"Senate: 2003-2009"
"Senator Dole, Robert J.",https://www.congress.gov/member/robert-dole/D000401,Kansas,,Republican,"Senate: 1969-1997 | House: 1961-1969"
"Senator Domenici, Pete V.",https://www.congress.gov/member/pete-domenici/D000407,"New Mexico",,Republican,"Senate: 1973-2009"
"Senator Dominick, Peter H.",https://www.congress.gov/member/peter-dominick/D000409,Colorado,,Republican,"Senate: 1973-1975 | House: 1961-1963"
"Senator Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Indiana,,Democratic,"Senate: 2013-2019 | House: 2007-2013"
"Senator Dorgan, Byron L.",https://www.congress.gov/member/byron-dorgan/D000432,"North Dakota",,Democratic,"Senate: 1991-2011 | House: 1981-1993"
"Senator Duckworth, Tammy",https://www.congress.gov/member/tammy-duckworth/D000622,Illinois,,Democratic,"Senate: 2017-Present | House: 2013-2017"
"Senator Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Illinois,,Democratic,"Senate: 1997-Present | House: 1983-1997"
"Senator Durenberger, Dave",https://www.congress.gov/member/david-durenberger/D000566,Minnesota,,Republican,"Senate: 1977-1995"
"Senator Durkin, John A.",https://www.congress.gov/member/john-durkin/D000574,"New Hampshire",,Democratic,"Senate: 1975-1981"
"Senator Eagleton, Thomas F.",https://www.congress.gov/member/thomas-eagleton/E000004,Missouri,,Democratic,"Senate: 1967-1987"
"Senator East, John P.",https://www.congress.gov/member/john-east/E000017,"North Carolina",,Republican,"Senate: 1981-1987"
"Senator Eastland, James O.",https://www.congress.gov/member/james-eastland/E000018,Mississippi,,Democratic,"Senate: 1941-1979"
"Senator Edwards, John",https://www.congress.gov/member/john-edwards/E000286,"North Carolina",,Democratic,"Senate: 1999-2005"
